einzelplan;einzelplan-text;einahmen-ausgaben;einahmen-ausgaben-text;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll ;titelgruppe;tgr-text
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"45357";"018";"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen";"nein";"11";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"63257";"018";"Erstattungen des Bundes für Versorgungslasten";"nein";"12";75;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"42401";"011";"Zuführung an die Versorgungsrücklage";"ja";"12";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44101";"840";"Beihilfen aufgrund der Beihilfevorschriften";"ja";"12";380;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44301";"840";"Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften";"ja";"12";60;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"45202";"223";"Unfallversicherung Bund und Bahn";"ja";"12";12;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52601";"011";"Gerichts- und ähnliche Kosten";"ja";"12";20;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52602";"011";"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen";"ja";"12";40;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"54501";"011";"Konferenzen, Tagungen, Messen und Ausstellungen";"ja";"12";2544;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"63403";"011";"Zuweisungen an den Versorgungsfonds";"ja";"12";910;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0112";"Bundespräsidialamt";"11999";"011";"Vermischte Einnahmen";;"14";2;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0112";"Bundespräsidialamt";"12401";"011";"Einnahmen aus Vermietung, Verpachtung und Nutzung";;"14";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0112";"Bundespräsidialamt";"13201";"011";"Erlöse aus der Veräußerung von beweglichen Sachen";;"14";1;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0112";"Bundespräsidialamt";"38103";"890";"Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7";;"14";0;
