einzelplan,einzelplan-text,jahr
25,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",2023
30,Bundesministerium für Bildung und Forschung,2023
32,Bundesschuld,2023
60,Allgemeine Finanzverwaltung,2023
01,Bundespräsident und Bundespräsidialamt,2024
02,Deutscher Bundestag,2024
03,Bundesrat,2024
04,Bundeskanzler und Bundeskanzleramt,2024
05,Auswärtiges Amt,2024
06,Bundesministerium des Innern und für Heimat,2024
07,Bundesministerium der Justiz,2024
08,Bundesministerium der Finanzen,2024
09,Bundesministerium für Wirtschaft und Klimaschutz,2024
10,Bundesministerium für Ernährung und Landwirtschaft,2024
11,Bundesministerium für Arbeit und Soziales,2024
12,Bundesministerium für Digitales und Verkehr,2024
14,Bundesministerium der Verteidigung,2024
15,Bundesministerium für Gesundheit,2024
16,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",2024
17,"Bundesministerium für Familie, Senioren, Frauen und Jugend",2024
19,Bundesverfassungsgericht,2024
20,Bundesrechnungshof,2024
21,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2024
22,Unabhängiger Kontrollrat,2024
23,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,2024
25,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",2024
30,Bundesministerium für Bildung und Forschung,2024
32,Bundesschuld,2024
60,Allgemeine Finanzverwaltung,2024
01,Bundespräsident und Bundespräsidialamt,2025
02,Deutscher Bundestag,2025
03,Bundesrat,2025
04,Bundeskanzler und Bundeskanzleramt,2025
05,Auswärtiges Amt,2025
06,Bundesministerium des Innern,2025
07,Bundesministerium der Justiz und für Verbraucherschutz,2025
08,Bundesministerium der Finanzen,2025
09,Bundesministerium für Wirtschaft und Energie,2025
10,"Bundesministerium für Landwirtschaft, Ernährung und Heimat",2025
11,Bundesministerium für Arbeit und Soziales,2025
12,Bundesministerium für Verkehr,2025
14,Bundesministerium der Verteidigung,2025
15,Bundesministerium für Gesundheit,2025
16,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",2025
17,"Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",2025
19,Bundesverfassungsgericht,2025
20,Bundesrechnungshof,2025
21,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2025
22,Unabhängiger Kontrollrat,2025
23,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,2025
24,Bundesministerium für Digitales und Staatsmodernisierung,2025
25,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",2025
30,"Bundesministerium für Forschung, Technologie und Raumfahrt",2025
32,Bundesschuld,2025
60,Allgemeine Finanzverwaltung,2025
22,Unabhängiger Kontrollrat,2019
22,Unabhängiger Kontrollrat,2020
22,Unabhängiger Kontrollrat,2021
